"Date","Close.Last","Company"
2021-01-06,263.31,"META"
2021-01-05,270.97,"META"
2021-01-04,268.94,"META"
2020-12-31,273.16,"META"
2020-12-30,271.87,"META"
2020-12-29,276.78,"META"
2020-12-28,277,"META"
2020-12-24,267.4,"META"
2020-12-23,268.11,"META"
2020-12-22,267.09,"META"
2020-12-21,272.79,"META"
2020-12-18,276.4,"META"
2020-12-17,274.48,"META"
2020-12-16,275.67,"META"
2020-12-15,275.55,"META"
2020-12-14,274.19,"META"
2020-12-11,273.55,"META"
2020-12-10,277.12,"META"
2020-12-09,277.92,"META"
2020-12-08,283.4,"META"
2020-12-07,285.58,"META"
2020-12-04,279.7,"META"
2020-12-03,281.85,"META"
2020-12-02,287.52,"META"
2020-12-01,286.55,"META"
2020-11-30,276.97,"META"
2020-11-27,277.81,"META"
2020-11-25,275.59,"META"
2020-11-24,276.92,"META"
2020-11-23,268.43,"META"
2020-11-20,269.7,"META"
2020-11-19,272.94,"META"
2020-11-18,271.97,"META"
2020-11-17,275,"META"
2020-11-16,278.96,"META"
2020-11-13,276.95,"META"
2020-11-12,275.08,"META"
2020-11-11,276.48,"META"
2020-11-10,272.43,"META"
2020-11-09,278.77,"META"
2020-11-06,293.41,"META"
2020-11-05,294.68,"META"
2020-11-04,287.38,"META"
2020-11-03,265.3,"META"
2020-11-02,261.36,"META"
2020-10-30,263.11,"META"
2020-10-29,280.83,"META"
2020-10-28,267.67,"META"
2020-10-27,283.29,"META"
2020-10-26,277.11,"META"
2020-10-23,284.79,"META"
2020-10-22,278.12,"META"
2020-10-21,278.73,"META"
2020-10-20,267.56,"META"
2020-10-19,261.4,"META"
2020-10-16,265.93,"META"
2020-10-15,266.72,"META"
2020-10-14,271.82,"META"
2020-10-13,276.14,"META"
2020-10-12,275.75,"META"
2020-10-09,264.45,"META"
2020-10-08,263.76,"META"
2020-10-07,258.12,"META"
2020-10-06,258.66,"META"
2020-10-05,264.65,"META"
2020-10-02,259.94,"META"
2020-10-01,266.63,"META"
2020-09-30,261.9,"META"
2020-09-29,261.79,"META"
2020-09-28,256.82,"META"
2020-09-25,254.82,"META"
2020-09-24,249.53,"META"
